region,year,online_buyers_pct,indicator_note
Республика Ингушетия,2024,2.8,proxy_fixed_broadband_subscriptions_per_100
Республика Калмыкия,2022,96.9,proxy_population_internet_users_pct
Республика Калмыкия,2024,14.0,proxy_fixed_broadband_subscriptions_per_100
Республика Карелия,2022,87.5,proxy_population_internet_users_pct
Республика Карелия,2024,40.0,proxy_fixed_broadband_subscriptions_per_100
Республика Коми,2022,87.9,proxy_population_internet_users_pct
Республика Коми,2024,26.2,proxy_fixed_broadband_subscriptions_per_100
Республика Крым,2022,91.7,proxy_population_internet_users_pct
Республика Крым,2024,24.2,proxy_fixed_broadband_subscriptions_per_100
Республика Марий Эл,2022,86.1,proxy_population_internet_users_pct
Республика Марий Эл,2024,21.8,proxy_fixed_broadband_subscriptions_per_100
Республика Мордовия,2022,84.8,proxy_population_internet_users_pct
Республика Мордовия,2024,20.4,proxy_fixed_broadband_subscriptions_per_100
Республика Саха (Якутия),2022,95.3,proxy_population_internet_users_pct
Республика Саха (Якутия),2024,20.9,proxy_fixed_broadband_subscriptions_per_100
Республика Северная Осетия – Алания,2022,93.7,proxy_population_internet_users_pct
Республика Северная Осетия – Алания,2024,23.3,proxy_fixed_broadband_subscriptions_per_100
Республика Татарстан,2022,97.9,proxy_population_internet_users_pct
Республика Татарстан,2024,32.8,proxy_fixed_broadband_subscriptions_per_100
Республика Тыва,2022,92.7,proxy_population_internet_users_pct
Республика Тыва,2024,10.8,proxy_fixed_broadband_subscriptions_per_100
Республика Хакасия,2022,92.3,proxy_population_internet_users_pct
Республика Хакасия,2024,20.2,proxy_fixed_broadband_subscriptions_per_100
Ростовская область,2022,93.6,proxy_population_internet_users_pct
Ростовская область,2024,28.0,proxy_fixed_broadband_subscriptions_per_100
Рязанская область,2022,90.7,proxy_population_internet_users_pct
Рязанская область,2024,27.5,proxy_fixed_broadband_subscriptions_per_100
Самарская область,2022,88.8,proxy_population_internet_users_pct
Самарская область,2024,25.4,proxy_fixed_broadband_subscriptions_per_100
Саратовская область,2022,94.2,proxy_population_internet_users_pct
Саратовская область,2024,24.2,proxy_fixed_broadband_subscriptions_per_100
Сахалинская область,2022,91.8,proxy_population_internet_users_pct
Сахалинская область,2024,18.2,proxy_fixed_broadband_subscriptions_per_100
Свердловская область,2022,90.0,proxy_population_internet_users_pct
Свердловская область,2024,31.1,proxy_fixed_broadband_subscriptions_per_100
Смоленская область,2022,87.2,proxy_population_internet_users_pct
Смоленская область,2024,28.2,proxy_fixed_broadband_subscriptions_per_100
Ставропольский край,2022,91.3,proxy_population_internet_users_pct
Ставропольский край,2024,22.6,proxy_fixed_broadband_subscriptions_per_100
Тамбовская область,2022,90.5,proxy_population_internet_users_pct
Тамбовская область,2024,27.4,proxy_fixed_broadband_subscriptions_per_100
Тверская область,2022,84.6,proxy_population_internet_users_pct
Тверская область,2024,24.1,proxy_fixed_broadband_subscriptions_per_100
Томская область,2022,84.7,proxy_population_internet_users_pct
Томская область,2024,28.2,proxy_fixed_broadband_subscriptions_per_100
Тульская область,2022,93.3,proxy_population_internet_users_pct
Тульская область,2024,30.8,proxy_fixed_broadband_subscriptions_per_100
Тюменская область,2022,93.9,proxy_population_internet_users_pct
Тюменская область,2024,27.5,proxy_fixed_broadband_subscriptions_per_100
Тюменская область без автономных округов,2022,88.9,proxy_population_internet_users_pct
Тюменская область без автономных округов,2024,30.3,proxy_fixed_broadband_subscriptions_per_100
Удмуртская Республика,2022,88.1,proxy_population_internet_users_pct
Удмуртская Республика,2024,24.4,proxy_fixed_broadband_subscriptions_per_100
