region,year,share_online
Самарская область,2023,6.1
Саратовская область,2023,6.6
Ульяновская область,2023,5.9
Уральский федеральный округ,2023,8.1
Курганская область,2023,4.0
Свердловская область,2023,10.0
Тюменская область,2023,6.3
в том числе: Ханты-Мансийский авт. округ,2023,5.9
Ямало-Ненецкий авт. округ,2023,6.4
Тюменская область без авт. округов,2023,6.7
Челябинская область,2023,8.7
Сибирский федеральный округ1),2023,6.4
Республика Алтай,2023,7.0
Республика Тыва,2023,3.7
Республика Хакасия,2023,2.6
Алтайский край,2023,6.0
Красноярский край,2023,4.5
Иркутская область,2023,4.0
Кемеровская область - Кузбасс,2023,7.8
Новосибирская область,2023,10.1
Омская область,2023,5.8
Томская область,2023,6.2
Дальневосточный федеральный округ1),2023,3.6
Республика Бурятия,2023,0.8
Республика Саха (Якутия),2023,4.4
Забайкальский край,2023,1.0
Камчатский край,2023,1.8
Приморский край,2023,6.2
Хабаровский край,2023,4.0
Амурская область,2023,4.3
Магаданская область,2023,1.4
Сахалинская область,2023,1.6
Еврейская авт.область,2023,1.1
