region,year,share_online,territory_level,population,income_pc,online_buyers_pct,cashless_payments_index,abs_change,growth_rate_pct,growth_increment_pct,lower_bound,upper_bound
Республика Калмыкия,2023,36.5,subject,,28635.0,,60.756363304465374,35.5,3650.0,3550.0,-0.5749999999999993,11.024999999999999
г. Москва,2023,15.5,subject,,117103.0,,63.40031141375852,5.199999999999999,150.48543689320388,50.48543689320388,-0.5749999999999993,11.024999999999999
г. Санкт-Петербург,2023,19.0,subject,,72037.0,,67.42083424260102,5.5,140.74074074074073,40.74074074074075,-0.5749999999999993,11.024999999999999
