region,year,share_online,territory_level,abs_change,growth_rate_pct,growth_increment_pct
Северо-Западный федеральный округ,2023,12.3,federal_district,3.6000000000000014,141.37931034482762,41.3793103448276
Центральный федеральный округ,2023,10.7,federal_district,2.799999999999999,135.4430379746835,35.443037974683534
Уральский федеральный округ,2023,8.1,federal_district,1.8999999999999997,130.64516129032256,30.645161290322577
Сибирский федеральный округ,2023,6.4,federal_district,1.3000000000000007,125.4901960784314,25.490196078431392
Южный федеральный округ,2023,6.3,federal_district,1.0999999999999996,121.15384615384616,21.153846153846143
Приволжский федеральный округ,2023,6.0,federal_district,1.5,133.33333333333331,33.33333333333333
Дальневосточный федеральный округ,2023,3.6,federal_district,1.8,200.0,100.0
Северо-Кавказский федеральный округ,2023,1.9,federal_district,0.5999999999999999,146.15384615384613,46.15384615384615
